Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Continent,Location,Latitude,Longitude,Dis Mag Value,Dis Mag Scale,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),Insured Damages ('000 US$),Start_Date,End_Date,Duration_Days,Month,Season,Severity_Score,Severity_Category,Magnitude_Category
1900,0,0,0,0,0,CPV,0,0,Countrywide,,,151.0,Km2,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,1900-01-01,1900-12-31,364.0,1.0,0,0.0014864864864864865,Low,0
1900,0,0,0,0,1,IND,1,1,Bengal,25.18,79.93,151.0,Km2,1250000.0,0.0,0.0,0.0,0.0,0.0,0.0,1900-01-01,1900-12-31,364.0,1.0,0,0.16891891891891891,Low,0
1902,0,1,1,1,2,GTM,2,2,"Quezaltenango, San Marcos",14.0,-91.0,8.0,Richter,2000.0,0.0,0.0,0.0,0.0,25000.0,0.0,1902-04-18,1902-04-18,0.0,4.0,1,0.0002940797940797941,Low,1
1902,0,1,2,2,2,GTM,2,2,,14.4,-90.22,151.0,,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1902-04-08,1902-04-08,0.0,4.0,1,0.00013513513513513514,Low,0
1902,0,1,2,2,2,GTM,2,2,,14.4,-90.22,151.0,,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,1902-10-24,1902-10-24,0.0,10.0,2,0.0008108108108108108,Low,0
1903,0,1,3,3,3,CAN,3,2,"Frank, Alberta",50.358,-81.96,151.0,,76.0,23.0,0.0,0.0,23.0,0.0,0.0,1903-04-29,1903-04-29,0.0,4.0,1,1.0291179361179362e-05,Low,0
1904,0,2,4,4,4,BGD,1,1,Chittagong,22.587,91.13,151.0,Kph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904-11-01,,1.0,11.0,2,0.0,Low,0
1905,0,1,3,3,3,CAN,3,2,"Spence's Bridge, British Columbia",50.358,-81.96,151.0,,18.0,18.0,0.0,0.0,18.0,0.0,0.0,1905-08-13,1905-08-13,0.0,8.0,3,2.448796068796069e-06,Low,0
1905,0,1,1,1,1,IND,1,1,Kangra,32.04,76.16,8.0,Richter,20000.0,0.0,0.0,0.0,0.0,25000.0,0.0,1905-04-04,1905-04-04,0.0,4.0,1,0.0027265122265122265,Low,1
1906,0,1,1,1,5,CHL,4,2,Valparaiso,33.05,71.4,8.0,Richter,20000.0,0.0,0.0,0.0,0.0,100000.0,0.0,1906-08-16,1906-08-16,0.0,8.0,3,0.002797940797940798,Low,1
1906,0,1,1,1,6,COL,4,2,Tumako,1.51,78.46,9.0,Richter,400.0,0.0,0.0,0.0,0.0,0.0,0.0,1906-01-31,1906-01-31,0.0,1.0,0,5.4054054054054054e-05,Low,0
1906,0,3,5,5,7,BEL,5,3,Louvain region,50.85,5.31,151.0,Km2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1906-05-14,1906-05-14,0.0,5.0,1,8.108108108108108e-07,Low,0
1906,0,2,4,4,8,HKG,6,1,,,,151.0,Kph,10000.0,0.0,0.0,0.0,0.0,20000.0,0.0,1906-09-08,1906-09-08,0.0,9.0,2,0.0013703989703989705,Low,0
1907,0,1,1,1,9,CHN,6,1,Tien Shan,38.5,69.9,7.0,Richter,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,1907-10-21,1907-10-21,0.0,10.0,2,0.0016216216216216215,Low,1
1908,0,1,3,6,3,CAN,3,2,"Notre Dame de La Salette, Quebec",50.358,-81.96,151.0,,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1908-04-26,1908-04-26,0.0,4.0,1,4.459459459459459e-06,Low,0
1909,0,2,4,4,4,BGD,1,1,Bakerganj,22.587,91.13,151.0,Kph,172.0,0.0,0.0,0.0,0.0,0.0,0.0,1909-10-15,1909-10-15,0.0,10.0,2,2.3243243243243243e-05,Low,0
1909,0,2,4,4,4,BGD,1,1,West Sundarbans,22.587,91.13,151.0,Kph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909-12-01,1909-12-31,30.0,12.0,0,0.0,Low,0
1909,0,1,1,1,10,FRA,5,3,"Lambesc, Saint-Cannat, Rognes, Vernegues, Charleval, La Roque d'Antheron (Haute-Provence)",44.05,6.14,6.0,Richter,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1909-06-11,1909-06-11,0.0,6.0,3,6.2162162162162164e-06,Low,2
1909,0,2,4,4,11,HTI,7,2,"Cul de Sac,Leogane",18.8125,-72.285,151.0,Kph,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1909-11-12,1909-11-12,0.0,11.0,2,2.027027027027027e-05,Low,0
1910,0,3,6,7,3,CAN,3,2,"Roger's Pass, British Columbia",50.358,-81.96,151.0,,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1910-03-05,1910-03-05,0.0,3.0,1,8.378378378378378e-06,Low,0
1910,0,4,7,8,9,CHN,6,1,Manchuria,29.807,103.0,151.0,Vaccinated,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,1910-01-01,1910-12-31,364.0,1.0,0,0.008108108108108109,Low,0
1910,0,1,1,1,12,CRI,2,2,Cartago,9.8,-84.0,151.0,Richter,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,1910-04-13,1910-04-13,0.0,4.0,1,0.00023648648648648648,Low,0
1910,0,1,1,1,13,DZA,8,0,"Kabylie, Masqueray",36.0,4.0,6.0,Richter,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1910-06-24,1910-06-24,0.0,6.0,3,1.6216216216216216e-06,Low,2
1911,0,2,4,4,4,BGD,1,1,Teknaf,22.587,91.13,151.0,Kph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1911-04-01,,1.0,4.0,1,0.0,Low,0
1911,0,0,8,9,3,CAN,3,2,"Cochrane (and Northern Region), Ontario",50.358,-81.96,1294994.0,Km2,73.0,0.0,0.0,200.0,200.0,0.0,0.0,1911-07-11,1911-07-11,0.0,7.0,3,1.0046683046683047e-05,Low,0
